Area,Country,Year,Series,Capital_city,Value
694,Sierra Leone,2005,Rural population (percent growth rate per annum),,3.9
694,Sierra Leone,2005,Capital city population (thousands),Freetown,786.0
694,Sierra Leone,2005,Capital city population (as a percentage of total population),Freetown,13.9
694,Sierra Leone,2005,Capital city population (as a percentage of total urban population),Freetown,37.6
694,Sierra Leone,2010,Urban population (percent),,38.9
694,Sierra Leone,2010,Urban population (percent growth rate per annum),,3.7
694,Sierra Leone,2010,Rural population (percent growth rate per annum),,2.0
694,Sierra Leone,2010,Capital city population (thousands),Freetown,905.0
694,Sierra Leone,2010,Capital city population (as a percentage of total population),Freetown,14.0
694,Sierra Leone,2010,Capital city population (as a percentage of total urban population),Freetown,36.1
694,Sierra Leone,2015,Urban population (percent),,40.8
694,Sierra Leone,2015,Urban population (percent growth rate per annum),,3.3
694,Sierra Leone,2015,Rural population (percent growth rate per annum),,1.6
694,Sierra Leone,2015,Capital city population (thousands),Freetown,1043.0
694,Sierra Leone,2015,Capital city population (as a percentage of total population),Freetown,14.4
694,Sierra Leone,2015,Capital city population (as a percentage of total urban population),Freetown,35.3
694,Sierra Leone,2018,Urban population (percent),,42.1
694,Sierra Leone,2018,Capital city population (thousands),Freetown,1136.0
702,Singapore,2005,Urban population (percent),,100.0
702,Singapore,2005,Urban population (percent growth rate per annum),,2.8
702,Singapore,2005,Rural population (percent growth rate per annum),,0.0
702,Singapore,2005,Capital city population (thousands),Singapore,4491.0
702,Singapore,2005,Capital city population (as a percentage of total population),Singapore,100.0
702,Singapore,2005,Capital city population (as a percentage of total urban population),Singapore,100.0
702,Singapore,2010,Urban population (percent),,100.0
702,Singapore,2010,Urban population (percent growth rate per annum),,2.4
702,Singapore,2010,Rural population (percent growth rate per annum),,0.0
702,Singapore,2010,Capital city population (thousands),Singapore,5074.0
702,Singapore,2010,Capital city population (as a percentage of total population),Singapore,100.0
702,Singapore,2010,Capital city population (as a percentage of total urban population),Singapore,100.0
702,Singapore,2015,Urban population (percent),,100.0
702,Singapore,2015,Urban population (percent growth rate per annum),,1.7
702,Singapore,2015,Rural population (percent growth rate per annum),,0.0
702,Singapore,2015,Capital city population (thousands),Singapore,5535.0
702,Singapore,2015,Capital city population (as a percentage of total population),Singapore,100.0
702,Singapore,2015,Capital city population (as a percentage of total urban population),Singapore,100.0
702,Singapore,2018,Urban population (percent),,100.0
702,Singapore,2018,Capital city population (thousands),Singapore,5792.0
534,Sint Maarten (Dutch part),2005,Urban population (percent),,100.0
534,Sint Maarten (Dutch part),2005,Urban population (percent growth rate per annum),,0.4
534,Sint Maarten (Dutch part),2005,Rural population (percent growth rate per annum),,0.0
534,Sint Maarten (Dutch part),2010,Urban population (percent),,100.0
534,Sint Maarten (Dutch part),2010,Urban population (percent growth rate per annum),,0.4
534,Sint Maarten (Dutch part),2010,Rural population (percent growth rate per annum),,0.0
534,Sint Maarten (Dutch part),2015,Urban population (percent),,100.0
534,Sint Maarten (Dutch part),2015,Urban population (percent growth rate per annum),,3.1
534,Sint Maarten (Dutch part),2015,Rural population (percent growth rate per annum),,0.0
534,Sint Maarten (Dutch part),2018,Urban population (percent),,100.0
534,Sint Maarten (Dutch part),2018,Capital city population (thousands),Philipsburg,41.0
703,Slovakia,2005,Urban population (percent),,55.6
703,Slovakia,2005,Urban population (percent growth rate per annum),,-0.2
703,Slovakia,2005,Rural population (percent growth rate per annum),,0.3
703,Slovakia,2005,Capital city population (thousands),Bratislava,426.0
703,Slovakia,2005,Capital city population (as a percentage of total population),Bratislava,7.9
703,Slovakia,2005,Capital city population (as a percentage of total urban population),Bratislava,14.2
703,Slovakia,2010,Urban population (percent),,54.7
703,Slovakia,2010,Urban population (percent growth rate per annum),,-0.3
703,Slovakia,2010,Rural population (percent growth rate per annum),,0.4
703,Slovakia,2010,Capital city population (thousands),Bratislava,414.0
703,Slovakia,2010,Capital city population (as a percentage of total population),Bratislava,7.7
703,Slovakia,2010,Capital city population (as a percentage of total urban population),Bratislava,14.0
703,Slovakia,2015,Urban population (percent),,53.9
703,Slovakia,2015,Urban population (percent growth rate per annum),,-0.2
703,Slovakia,2015,Rural population (percent growth rate per annum),,0.5
703,Slovakia,2015,Capital city population (thousands),Bratislava,422.0
703,Slovakia,2015,Capital city population (as a percentage of total population),Bratislava,7.8
703,Slovakia,2015,Capital city population (as a percentage of total urban population),Bratislava,14.4
703,Slovakia,2018,Urban population (percent),,53.7
703,Slovakia,2018,Capital city population (thousands),Bratislava,430.0
705,Slovenia,2005,Urban population (percent),,51.5
705,Slovenia,2005,Urban population (percent growth rate per annum),,0.4
705,Slovenia,2005,Rural population (percent growth rate per annum),,-0.2
705,Slovenia,2010,Urban population (percent),,52.7
705,Slovenia,2010,Urban population (percent growth rate per annum),,0.9
705,Slovenia,2010,Rural population (percent growth rate per annum),,0.0
705,Slovenia,2015,Urban population (percent),,53.8
705,Slovenia,2015,Urban population (percent growth rate per annum),,0.7
705,Slovenia,2015,Rural population (percent growth rate per annum),,-0.2
705,Slovenia,2018,Urban population (percent),,54.5
705,Slovenia,2018,Capital city population (thousands),Ljubljana,286.0
90,Solomon Islands,2005,Urban population (percent),,17.8
90,Solomon Islands,2005,Urban population (percent growth rate per annum),,5.0
90,Solomon Islands,2005,Rural population (percent growth rate per annum),,2.1
90,Solomon Islands,2010,Urban population (percent),,20.0
90,Solomon Islands,2010,Urban population (percent growth rate per annum),,4.7
90,Solomon Islands,2010,Rural population (percent growth rate per annum),,1.8
90,Solomon Islands,2015,Urban population (percent),,22.4
90,Solomon Islands,2015,Urban population (percent growth rate per annum),,4.3
90,Solomon Islands,2015,Rural population (percent growth rate per annum),,1.6
90,Solomon Islands,2018,Urban population (percent),,23.7
90,Solomon Islands,2018,Capital city population (thousands),Honiara,82.0
706,Somalia,2005,Urban population (percent),,36.3
706,Somalia,2005,Urban population (percent growth rate per annum),,4.6
706,Somalia,2005,Rural population (percent growth rate per annum),,1.9
706,Somalia,2005,Capital city population (thousands),Mogadishu,1415.0
706,Somalia,2005,Capital city population (as a percentage of total population),Mogadishu,13.6
706,Somalia,2005,Capital city population (as a percentage of total urban population),Mogadishu,37.4
706,Somalia,2010,Urban population (percent),,39.3
706,Somalia,2010,Urban population (percent growth rate per annum),,4.5
706,Somalia,2010,Rural population (percent growth rate per annum),,2.0
706,Somalia,2010,Capital city population (thousands),Mogadishu,1353.0
706,Somalia,2010,Capital city population (as a percentage of total population),Mogadishu,11.2
706,Somalia,2010,Capital city population (as a percentage of total urban population),Mogadishu,28.6
706,Somalia,2015,Urban population (percent),,43.2
706,Somalia,2015,Urban population (percent growth rate per annum),,4.8
706,Somalia,2015,Rural population (percent growth rate per annum),,1.5
706,Somalia,2015,Capital city population (thousands),Mogadishu,1783.0
706,Somalia,2015,Capital city population (as a percentage of total population),Mogadishu,12.8
706,Somalia,2015,Capital city population (as a percentage of total urban population),Mogadishu,29.6
706,Somalia,2018,Urban population (percent),,45.0
706,Somalia,2018,Capital city population (thousands),Mogadishu,2082.0
710,South Africa,2005,Urban population (percent),,59.5
710,South Africa,2005,Urban population (percent growth rate per annum),,2.2
710,South Africa,2005,Rural population (percent growth rate per annum),,0.0
710,South Africa,2005,Capital city population (thousands),Pretoria,1334.0
710,South Africa,2005,Capital city population (as a percentage of total population),Pretoria,2.7
710,South Africa,2005,Capital city population (as a percentage of total urban population),Pretoria,4.6
710,South Africa,2010,Urban population (percent),,62.2
710,South Africa,2010,Urban population (percent growth rate per annum),,2.0
710,South Africa,2010,Rural population (percent growth rate per annum),,-0.3
710,South Africa,2010,Capital city population (thousands),Pretoria,1666.0
710,South Africa,2010,Capital city population (as a percentage of total population),Pretoria,3.2
710,South Africa,2010,Capital city population (as a percentage of total urban population),Pretoria,5.2
710,South Africa,2015,Urban population (percent),,64.8
710,South Africa,2015,Urban population (percent growth rate per annum),,2.2
710,South Africa,2015,Rural population (percent growth rate per annum),,0.0
710,South Africa,2015,Capital city population (thousands),Pretoria,2081.0
710,South Africa,2015,Capital city population (as a percentage of total population),Pretoria,3.8
710,South Africa,2015,Capital city population (as a percentage of total urban population),Pretoria,5.8
710,South Africa,2018,Urban population (percent),,66.4
710,South Africa,2018,Capital city population (thousands),Pretoria,2378.0
728,South Sudan,2005,Urban population (percent),,17.2
728,South Sudan,2005,Urban population (percent growth rate per annum),,4.6
728,South Sudan,2005,Rural population (percent growth rate per annum),,3.7
728,South Sudan,2005,Capital city population (thousands),Juba,202.0
728,South Sudan,2005,Capital city population (as a percentage of total population),Juba,2.5
728,South Sudan,2005,Capital city population (as a percentage of total urban population),Juba,14.5
728,South Sudan,2010,Urban population (percent),,17.9
728,South Sudan,2010,Urban population (percent growth rate per annum),,5.1
728,South Sudan,2010,Rural population (percent growth rate per annum),,4.2
728,South Sudan,2010,Capital city population (thousands),Juba,255.0
728,South Sudan,2010,Capital city population (as a percentage of total population),Juba,2.5
728,South Sudan,2010,Capital city population (as a percentage of total urban population),Juba,14.2
728,South Sudan,2015,Urban population (percent),,18.9
728,South Sudan,2015,Urban population (percent growth rate per annum),,4.4
728,South Sudan,2015,Rural population (percent growth rate per annum),,3.1
728,South Sudan,2015,Capital city population (thousands),Juba,321.0
728,South Sudan,2015,Capital city population (as a percentage of total population),Juba,2.7
728,South Sudan,2015,Capital city population (as a percentage of total urban population),Juba,14.3
728,South Sudan,2018,Urban population (percent),,19.6
728,South Sudan,2018,Capital city population (thousands),Juba,369.0
724,Spain,2005,Urban population (percent),,77.3
724,Spain,2005,Urban population (percent growth rate per annum),,1.7
724,Spain,2005,Rural population (percent growth rate per annum),,0.6
724,Spain,2005,Capital city population (thousands),Madrid,5383.0
724,Spain,2005,Capital city population (as a percentage of total population),Madrid,12.2
724,Spain,2005,Capital city population (as a percentage of total urban population),Madrid,15.8
724,Spain,2010,Urban population (percent),,78.4
724,Spain,2010,Urban population (percent growth rate per annum),,1.5
724,Spain,2010,Rural population (percent growth rate per annum),,0.1
724,Spain,2010,Capital city population (thousands),Madrid,5787.0
724,Spain,2010,Capital city population (as a percentage of total population),Madrid,12.4
724,Spain,2010,Capital city population (as a percentage of total urban population),Madrid,15.8
724,Spain,2015,Urban population (percent),,79.6
724,Spain,2015,Urban population (percent growth rate per annum),,0.1
724,Spain,2015,Rural population (percent growth rate per annum),,-1.3
724,Spain,2015,Capital city population (thousands),Madrid,6221.0
724,Spain,2015,Capital city population (as a percentage of total population),Madrid,13.4
724,Spain,2015,Capital city population (as a percentage of total urban population),Madrid,16.8
724,Spain,2018,Urban population (percent),,80.3
724,Spain,2018,Capital city population (thousands),Madrid,6497.0
144,Sri Lanka,2005,Urban population (percent),,18.3
144,Sri Lanka,2005,Urban population (percent growth rate per annum),,0.7
144,Sri Lanka,2005,Rural population (percent growth rate per annum),,0.8
144,Sri Lanka,2005,Capital city population (thousands),Colombo,614.0
144,Sri Lanka,2005,Capital city population (as a percentage of total population),Colombo,3.1
144,Sri Lanka,2005,Capital city population (as a percentage of total urban population),Colombo,17.2
144,Sri Lanka,2010,Urban population (percent),,18.2
144,Sri Lanka,2010,Urban population (percent growth rate per annum),,0.6
144,Sri Lanka,2010,Rural population (percent growth rate per annum),,0.7
144,Sri Lanka,2010,Capital city population (thousands),Colombo,574.0
144,Sri Lanka,2010,Capital city population (as a percentage of total population),Colombo,2.8
144,Sri Lanka,2010,Capital city population (as a percentage of total urban population),Colombo,15.6
144,Sri Lanka,2015,Urban population (percent),,18.3
144,Sri Lanka,2015,Urban population (percent growth rate per annum),,0.5
144,Sri Lanka,2015,Rural population (percent growth rate per annum),,0.5
144,Sri Lanka,2015,Capital city population (thousands),Colombo,581.0
144,Sri Lanka,2015,Capital city population (as a percentage of total population),Colombo,2.8
144,Sri Lanka,2015,Capital city population (as a percentage of total urban population),Colombo,15.4
144,Sri Lanka,2018,Urban population (percent),,18.5
144,Sri Lanka,2018,Capital city population (thousands),Colombo,600.0
275,State of Palestine,2005,Urban population (percent),,73.1
275,State of Palestine,2005,Urban population (percent growth rate per annum),,2.4
275,State of Palestine,2005,Rural population (percent growth rate per annum),,1.3
275,State of Palestine,2010,Urban population (percent),,74.1
275,State of Palestine,2010,Urban population (percent growth rate per annum),,2.9
275,State of Palestine,2010,Rural population (percent growth rate per annum),,1.7
275,State of Palestine,2015,Urban population (percent),,75.4
275,State of Palestine,2015,Urban population (percent growth rate per annum),,3.1
275,State of Palestine,2015,Rural population (percent growth rate per annum),,1.8
275,State of Palestine,2018,Urban population (percent),,76.2
275,State of Palestine,2018,Capital city population (thousands),East Jerusalem,275.0
729,Sudan,2005,Urban population (percent),,32.8
729,Sudan,2005,Urban population (percent growth rate per annum),,2.7
729,Sudan,2005,Rural population (percent growth rate per annum),,2.4
729,Sudan,2005,Capital city population (thousands),Khartoum,3979.0
729,Sudan,2005,Capital city population (as a percentage of total population),Khartoum,12.9
729,Sudan,2005,Capital city population (as a percentage of total urban population),Khartoum,39.3
729,Sudan,2010,Urban population (percent),,33.1
729,Sudan,2010,Urban population (percent growth rate per annum),,2.3
729,Sudan,2010,Rural population (percent growth rate per annum),,2.0
729,Sudan,2010,Capital city population (thousands),Khartoum,4517.0
729,Sudan,2010,Capital city population (as a percentage of total population),Khartoum,13.1
729,Sudan,2010,Capital city population (as a percentage of total urban population),Khartoum,39.7
729,Sudan,2015,Urban population (percent),,33.9
729,Sudan,2015,Urban population (percent growth rate per annum),,2.8
729,Sudan,2015,Rural population (percent growth rate per annum),,2.1
729,Sudan,2015,Capital city population (thousands),Khartoum,5128.0
729,Sudan,2015,Capital city population (as a percentage of total population),Khartoum,13.3
729,Sudan,2015,Capital city population (as a percentage of total urban population),Khartoum,39.2
729,Sudan,2018,Urban population (percent),,34.6
729,Sudan,2018,Capital city population (thousands),Khartoum,5534.0
740,Suriname,2005,Urban population (percent),,66.7
740,Suriname,2005,Urban population (percent growth rate per annum),,1.2
740,Suriname,2005,Rural population (percent growth rate per annum),,1.0
740,Suriname,2010,Urban population (percent),,66.3
740,Suriname,2010,Urban population (percent growth rate per annum),,1.0
740,Suriname,2010,Rural population (percent growth rate per annum),,1.3
740,Suriname,2015,Urban population (percent),,66.1
740,Suriname,2015,Urban population (percent growth rate per annum),,0.9
740,Suriname,2015,Rural population (percent growth rate per annum),,1.2
740,Suriname,2018,Urban population (percent),,66.1
740,Suriname,2018,Capital city population (thousands),Paramaribo,239.0
752,Sweden,2005,Urban population (percent),,84.3
752,Sweden,2005,Urban population (percent growth rate per annum),,0.4
752,Sweden,2005,Rural population (percent growth rate per annum),,0.0
752,Sweden,2005,Capital city population (thousands),Stockholm,1248.0
752,Sweden,2005,Capital city population (as a percentage of total population),Stockholm,13.8
752,Sweden,2005,Capital city population (as a percentage of total urban population),Stockholm,16.4
752,Sweden,2010,Urban population (percent),,85.1
752,Sweden,2010,Urban population (percent growth rate per annum),,0.9
752,Sweden,2010,Rural population (percent growth rate per annum),,-0.2
752,Sweden,2010,Capital city population (thousands),Stockholm,1360.0
752,Sweden,2010,Capital city population (as a percentage of total population),Stockholm,14.5
752,Sweden,2010,Capital city population (as a percentage of total urban population),Stockholm,17.0
752,Sweden,2015,Urban population (percent),,86.6
752,Sweden,2015,Urban population (percent growth rate per annum),,1.1
752,Sweden,2015,Rural population (percent growth rate per annum),,-1.3
752,Sweden,2015,Capital city population (thousands),Stockholm,1495.0
752,Sweden,2015,Capital city population (as a percentage of total population),Stockholm,15.3
752,Sweden,2015,Capital city population (as a percentage of total urban population),Stockholm,17.7
752,Sweden,2018,Urban population (percent),,87.4
752,Sweden,2018,Capital city population (thousands),Stockholm,1583.0
756,Switzerland,2005,Urban population (percent),,73.5
756,Switzerland,2005,Urban population (percent growth rate per annum),,0.7
756,Switzerland,2005,Rural population (percent growth rate per annum),,0.6
756,Switzerland,2005,Capital city population (thousands),Bern,367.0
756,Switzerland,2005,Capital city population (as a percentage of total population),Bern,5.0
756,Switzerland,2005,Capital city population (as a percentage of total urban population),Bern,6.7
756,Switzerland,2010,Urban population (percent),,73.6
756,Switzerland,2010,Urban population (percent growth rate per annum),,1.1
756,Switzerland,2010,Rural population (percent growth rate per annum),,1.0
756,Switzerland,2010,Capital city population (thousands),Bern,387.0
756,Switzerland,2010,Capital city population (as a percentage of total population),Bern,4.9
756,Switzerland,2010,Capital city population (as a percentage of total urban population),Bern,6.7
756,Switzerland,2015,Urban population (percent),,73.7
756,Switzerland,2015,Urban population (percent growth rate per annum),,1.2
756,Switzerland,2015,Rural population (percent growth rate per annum),,1.1
756,Switzerland,2015,Capital city population (thousands),Bern,409.0
756,Switzerland,2015,Capital city population (as a percentage of total population),Bern,4.9
756,Switzerland,2015,Capital city population (as a percentage of total urban population),Bern,6.7
756,Switzerland,2018,Urban population (percent),,73.8
756,Switzerland,2018,Capital city population (thousands),Bern,422.0
760,Syrian Arab Republic,2005,Urban population (percent),,53.8
760,Syrian Arab Republic,2005,Urban population (percent growth rate per annum),,2.9
760,Syrian Arab Republic,2005,Rural population (percent growth rate per annum),,1.4
760,Syrian Arab Republic,2005,Capital city population (thousands),Damascus,2200.0
760,Syrian Arab Republic,2005,Capital city population (as a percentage of total population),Damascus,12.0
760,Syrian Arab Republic,2005,Capital city population (as a percentage of total urban population),Damascus,22.4
760,Syrian Arab Republic,2010,Urban population (percent),,55.6
760,Syrian Arab Republic,2010,Urban population (percent growth rate per annum),,3.4
760,Syrian Arab Republic,2010,Rural population (percent growth rate per annum),,2.0
760,Syrian Arab Republic,2010,Capital city population (thousands),Damascus,2401.0
760,Syrian Arab Republic,2010,Capital city population (as a percentage of total population),Damascus,11.4
760,Syrian Arab Republic,2010,Capital city population (as a percentage of total urban population),Damascus,20.5
760,Syrian Arab Republic,2015,Urban population (percent),,52.2
760,Syrian Arab Republic,2015,Urban population (percent growth rate per annum),,-3.6
760,Syrian Arab Republic,2015,Rural population (percent growth rate per annum),,-0.8
760,Syrian Arab Republic,2015,Capital city population (thousands),Damascus,2223.0
760,Syrian Arab Republic,2015,Capital city population (as a percentage of total population),Damascus,11.9
760,Syrian Arab Republic,2015,Capital city population (as a percentage of total urban population),Damascus,22.7
760,Syrian Arab Republic,2018,Urban population (percent),,54.2
760,Syrian Arab Republic,2018,Capital city population (thousands),Damascus,2320.0
762,Tajikistan,2005,Urban population (percent),,26.5
762,Tajikistan,2005,Urban population (percent growth rate per annum),,2.0
762,Tajikistan,2005,Rural population (percent growth rate per annum),,2.0
762,Tajikistan,2005,Capital city population (thousands),Dushanbe,640.0
762,Tajikistan,2005,Capital city population (as a percentage of total population),Dushanbe,9.3
762,Tajikistan,2005,Capital city population (as a percentage of total urban population),Dushanbe,35.2
762,Tajikistan,2010,Urban population (percent),,26.5
762,Tajikistan,2010,Urban population (percent growth rate per annum),,2.2
762,Tajikistan,2010,Rural population (percent growth rate per annum),,2.2
762,Tajikistan,2010,Capital city population (thousands),Dushanbe,721.0
762,Tajikistan,2010,Capital city population (as a percentage of total population),Dushanbe,9.4
762,Tajikistan,2010,Capital city population (as a percentage of total urban population),Dushanbe,35.6
762,Tajikistan,2015,Urban population (percent),,26.7
762,Tajikistan,2015,Urban population (percent growth rate per annum),,2.4
762,Tajikistan,2015,Rural population (percent growth rate per annum),,2.2
762,Tajikistan,2015,Capital city population (thousands),Dushanbe,812.0
762,Tajikistan,2015,Capital city population (as a percentage of total population),Dushanbe,9.5
762,Tajikistan,2015,Capital city population (as a percentage of total urban population),Dushanbe,35.5
762,Tajikistan,2018,Urban population (percent),,27.1
762,Tajikistan,2018,Capital city population (thousands),Dushanbe,873.0
764,Thailand,2005,Urban population (percent),,37.4
764,Thailand,2005,Urban population (percent growth rate per annum),,4.3
764,Thailand,2005,Rural population (percent growth rate per annum),,-1.1
764,Thailand,2005,Capital city population (thousands),Bangkok,7272.0
764,Thailand,2005,Capital city population (as a percentage of total population),Bangkok,11.1
764,Thailand,2005,Capital city population (as a percentage of total urban population),Bangkok,29.7
764,Thailand,2010,Urban population (percent),,43.9
764,Thailand,2010,Urban population (percent growth rate per annum),,3.7
764,Thailand,2010,Rural population (percent growth rate per annum),,-1.6
764,Thailand,2010,Capital city population (thousands),Bangkok,8269.0
764,Thailand,2010,Capital city population (as a percentage of total population),Bangkok,12.3
764,Thailand,2010,Capital city population (as a percentage of total urban population),Bangkok,28.1
764,Thailand,2015,Urban population (percent),,47.7
764,Thailand,2015,Urban population (percent growth rate per annum),,2.1
764,Thailand,2015,Rural population (percent growth rate per annum),,-1.0
764,Thailand,2015,Capital city population (thousands),Bangkok,9403.0
764,Thailand,2015,Capital city population (as a percentage of total population),Bangkok,13.7
764,Thailand,2015,Capital city population (as a percentage of total urban population),Bangkok,28.7
764,Thailand,2018,Urban population (percent),,49.9
764,Thailand,2018,Capital city population (thousands),Bangkok,10156.0
807,TFYR of Macedonia,2005,Urban population (percent),,57.5
807,TFYR of Macedonia,2005,Urban population (percent growth rate per annum),,-0.1
807,TFYR of Macedonia,2005,Rural population (percent growth rate per annum),,0.7
807,TFYR of Macedonia,2005,Capital city population (thousands),Skopje,485.0
807,TFYR of Macedonia,2005,Capital city population (as a percentage of total population),Skopje,23.6
807,TFYR of Macedonia,2005,Capital city population (as a percentage of total urban population),Skopje,40.9
807,TFYR of Macedonia,2010,Urban population (percent),,57.1
807,TFYR of Macedonia,2010,Urban population (percent growth rate per annum),,-0.1
807,TFYR of Macedonia,2010,Rural population (percent growth rate per annum),,0.3
807,TFYR of Macedonia,2010,Capital city population (thousands),Skopje,521.0
807,TFYR of Macedonia,2010,Capital city population (as a percentage of total population),Skopje,25.2
807,TFYR of Macedonia,2010,Capital city population (as a percentage of total urban population),Skopje,44.1
807,TFYR of Macedonia,2015,Urban population (percent),,57.4
807,TFYR of Macedonia,2015,Urban population (percent growth rate per annum),,0.2
807,TFYR of Macedonia,2015,Rural population (percent growth rate per annum),,-0.1
807,TFYR of Macedonia,2015,Capital city population (thousands),Skopje,560.0
807,TFYR of Macedonia,2015,Capital city population (as a percentage of total population),Skopje,26.9
807,TFYR of Macedonia,2015,Capital city population (as a percentage of total urban population),Skopje,46.9
807,TFYR of Macedonia,2018,Urban population (percent),,58.0
807,TFYR of Macedonia,2018,Capital city population (thousands),Skopje,584.0
626,Timor-Leste,2005,Urban population (percent),,26.0
626,Timor-Leste,2005,Urban population (percent growth rate per annum),,4.7
626,Timor-Leste,2005,Rural population (percent growth rate per annum),,2.8
626,Timor-Leste,2010,Urban population (percent),,27.7
626,Timor-Leste,2010,Urban population (percent growth rate per annum),,2.8
626,Timor-Leste,2010,Rural population (percent growth rate per annum),,1.1
626,Timor-Leste,2015,Urban population (percent),,29.5
626,Timor-Leste,2015,Urban population (percent growth rate per annum),,3.5
626,Timor-Leste,2015,Rural population (percent growth rate per annum),,1.7
626,Timor-Leste,2018,Urban population (percent),,30.6
626,Timor-Leste,2018,Capital city population (thousands),Dili,281.0
768,Togo,2005,Urban population (percent),,35.2
768,Togo,2005,Urban population (percent growth rate per annum),,4.0
768,Togo,2005,Rural population (percent growth rate per annum),,2.0
768,Togo,2005,Capital city population (thousands),Lomé,1315.0
768,Togo,2005,Capital city population (as a percentage of total population),Lomé,23.1
768,Togo,2005,Capital city population (as a percentage of total urban population),Lomé,65.8
768,Togo,2010,Urban population (percent),,37.5
768,Togo,2010,Urban population (percent growth rate per annum),,4.0
768,Togo,2010,Rural population (percent growth rate per annum),,2.0
768,Togo,2010,Capital city population (thousands),Lomé,1466.0
768,Togo,2010,Capital city population (as a percentage of total population),Lomé,22.6
768,Togo,2010,Capital city population (as a percentage of total urban population),Lomé,60.1
768,Togo,2015,Urban population (percent),,40.1
768,Togo,2015,Urban population (percent growth rate per annum),,4.0
768,Togo,2015,Rural population (percent growth rate per annum),,1.8
768,Togo,2015,Capital city population (thousands),Lomé,1635.0
768,Togo,2015,Capital city population (as a percentage of total population),Lomé,22.0
768,Togo,2015,Capital city population (as a percentage of total urban population),Lomé,55.0
768,Togo,2018,Urban population (percent),,41.7
768,Togo,2018,Capital city population (thousands),Lomé,1746.0
772,Tokelau,2005,Urban population (percent),,0.0
772,Tokelau,2005,Urban population (percent growth rate per annum),,0.0
772,Tokelau,2005,Rural population (percent growth rate per annum),,-5.0
772,Tokelau,2010,Urban population (percent),,0.0
772,Tokelau,2010,Urban population (percent growth rate per annum),,0.0
772,Tokelau,2010,Rural population (percent growth rate per annum),,-1.2
772,Tokelau,2015,Urban population (percent),,0.0
772,Tokelau,2015,Urban population (percent growth rate per annum),,0.0
772,Tokelau,2015,Rural population (percent growth rate per annum),,1.9
772,Tokelau,2018,Urban population (percent),,0.0
776,Tonga,2005,Urban population (percent),,23.2
776,Tonga,2005,Urban population (percent growth rate per annum),,0.7
776,Tonga,2005,Rural population (percent growth rate per annum),,0.6
776,Tonga,2010,Urban population (percent),,23.4
776,Tonga,2010,Urban population (percent growth rate per annum),,0.8
776,Tonga,2010,Rural population (percent growth rate per annum),,0.5
776,Tonga,2015,Urban population (percent),,23.3
776,Tonga,2015,Urban population (percent growth rate per annum),,0.3
776,Tonga,2015,Rural population (percent growth rate per annum),,0.5
776,Tonga,2018,Urban population (percent),,23.1
776,Tonga,2018,Capital city population (thousands),Nuku'alofa,23.0
780,Trinidad and Tobago,2005,Urban population (percent),,55.0
780,Trinidad and Tobago,2005,Urban population (percent growth rate per annum),,0.1
780,Trinidad and Tobago,2005,Rural population (percent growth rate per annum),,0.9
780,Trinidad and Tobago,2005,Capital city population (thousands),Port of Spain,547.0
780,Trinidad and Tobago,2005,Capital city population (as a percentage of total population),Port of Spain,42.2
780,Trinidad and Tobago,2005,Capital city population (as a percentage of total urban population),Port of Spain,76.8
780,Trinidad and Tobago,2010,Urban population (percent),,54.0
780,Trinidad and Tobago,2010,Urban population (percent growth rate per annum),,0.1
780,Trinidad and Tobago,2010,Rural population (percent growth rate per annum),,0.9
780,Trinidad and Tobago,2010,Capital city population (thousands),Port of Spain,546.0
780,Trinidad and Tobago,2010,Capital city population (as a percentage of total population),Port of Spain,41.1
780,Trinidad and Tobago,2010,Capital city population (as a percentage of total urban population),Port of Spain,76.1
780,Trinidad and Tobago,2015,Urban population (percent),,53.3
780,Trinidad and Tobago,2015,Urban population (percent growth rate per annum),,0.2
780,Trinidad and Tobago,2015,Rural population (percent growth rate per annum),,0.8
780,Trinidad and Tobago,2015,Capital city population (thousands),Port of Spain,545.0
780,Trinidad and Tobago,2015,Capital city population (as a percentage of total population),Port of Spain,40.1
780,Trinidad and Tobago,2015,Capital city population (as a percentage of total urban population),Port of Spain,75.2
780,Trinidad and Tobago,2018,Urban population (percent),,53.2
780,Trinidad and Tobago,2018,Capital city population (thousands),Port of Spain,544.0
788,Tunisia,2005,Urban population (percent),,65.2
788,Tunisia,2005,Urban population (percent growth rate per annum),,1.4
788,Tunisia,2005,Rural population (percent growth rate per annum),,-0.2
788,Tunisia,2005,Capital city population (thousands),Tunis,1859.0
788,Tunisia,2005,Capital city population (as a percentage of total population),Tunis,18.4
788,Tunisia,2005,Capital city population (as a percentage of total urban population),Tunis,28.2
788,Tunisia,2010,Urban population (percent),,66.7
788,Tunisia,2010,Urban population (percent growth rate per annum),,1.5
788,Tunisia,2010,Rural population (percent growth rate per annum),,0.2
788,Tunisia,2010,Capital city population (thousands),Tunis,2014.0
788,Tunisia,2010,Capital city population (as a percentage of total population),Tunis,18.9
788,Tunisia,2010,Capital city population (as a percentage of total urban population),Tunis,28.4
788,Tunisia,2015,Urban population (percent),,68.1
788,Tunisia,2015,Urban population (percent growth rate per annum),,1.6
788,Tunisia,2015,Rural population (percent growth rate per annum),,0.3
788,Tunisia,2015,Capital city population (thousands),Tunis,2183.0
788,Tunisia,2015,Capital city population (as a percentage of total population),Tunis,19.4
788,Tunisia,2015,Capital city population (as a percentage of total urban population),Tunis,28.5
